index,Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits,Ticker,Published_Date,published_time_x,Created_At,group_name,published_at,author,url_x,Title,Description,content,published_time_y,id_y,title_y,Source,Summary,Url,Created_At,title_y_Sentiment_Score,content_Sentiment_Score,Combined_Description,Processed_Text,Sentiment_Score,Sentiment_Label,Published_Year,Published_Month,Published_Weekday,Published_Hour,Is_Weekend,Close_Lag1,Close_Lag2,MA_5,MA_10,MA_20,Price_Range,Daily_Return,Positive_Sentiment,Negative_Sentiment,SMA_50,EMA_50,Bollinger_Upper,Bollinger_Lower,RSI,high_low,high_close,low_close,TR,ATR,log_return,volatility,Prev Close,Price_Change,Target
701,2024-10-29 04:00:00,22.8700008392334,23.13999938964844,22.40999984741211,22.899999618530273,83422200.0,0.0,0.0,INTC,2024-10-29,04:00:00,,,,,,,,,,,,,,,,,,    ,,,Neutral,2024,10,1,4.0,0,22.920000076293945,22.68000030517578,22.563999938964844,22.557999992370604,,0.7299995422363317,-0.0008726203183724301,0,0,175.85256893157958,144.43834401219334,331.33022821953614,20.374909643623056,0.7697953566548676,0.7299995422363317,0.21999931335449574,0.5100002288818359,0.7299995422363317,,-0.0008730012731178058,0.5928493350357829,22.920000076293945,-0.0008726203183724301,0
702,2024-10-30 04:00:00,22.420000076293945,22.93000030517578,22.260000228881836,22.299999237060547,50941200.0,0.0,0.0,INTC,2024-10-30,04:00:00,,,,,,,,,,,,,,,,,,    ,,,Neutral,2024,10,2,4.0,0,22.899999618530273,22.920000076293945,22.62799987792969,22.556999969482423,,0.6700000762939453,-0.026200890456968273,0,0,171.69981220245361,139.64860500140384,332.28899836922307,11.110626035684163,0.7673842191296245,0.6700000762939453,0.030000686645507812,0.6399993896484375,0.6700000762939453,,-0.02655024964858622,0.5923452337995256,22.899999618530273,-0.026200890456968273,0
703,2024-10-31 04:00:00,22.149999618530273,22.25,21.469999313354492,21.520000457763672,112485500.0,0.0,0.0,INTC,2024-10-31,04:00:00,,,,,,,,,,,,,,,,,,    ,,,Neutral,2024,10,3,4.0,0,22.299999237060547,22.899999618530273,22.463999938964843,22.464999961853028,,0.7800006866455078,-0.034977524931955495,0,0,167.5314554977417,135.01611070557482,332.7048117613705,2.3580992341128706,0.7720188871281692,0.7800006866455078,0.049999237060546875,0.8299999237060547,0.8299999237060547,,-0.03560388768841137,0.5918681662357964,22.299999237060547,-0.034977524931955495,0
704,2024-11-01 04:00:00,23.0,23.579999923706055,21.90999984741211,23.200000762939453,173471100.0,0.0,0.0,INTC,2024-11-01,04:00:00,,,,,,,,,,,,,,,,,,    ,,,Neutral,2024,11,4,4.0,0,21.520000457763672,22.299999237060547,22.568000030517577,22.507999992370607,88.00850114822389,1.6700000762939453,0.07806692701856766,0,0,163.3867769241333,130.63116521762834,332.4715498686975,-5.69799602043085,1.639857045273331,1.6700000762939453,2.059999465942383,0.3899993896484375,2.059999465942383,,0.07516955499245537,0.5937923612465164,21.520000457763672,0.07806692701856766,1
705,2024-11-04 05:00:00,22.959999084472656,23.0,22.0,22.520000457763672,84616300.0,0.0,0.0,INTC,2024-11-04,05:00:00,,,,,,,,,,,,,,,,,,    ,,,Neutral,2024,11,0,5.0,0,23.200000762939453,21.520000457763672,22.488000106811523,22.476000022888183,78.5395007133484,1.0,-0.029310357017834243,0,0,159.22849834442138,126.39151169763365,331.77412187031825,-13.317125181475518,1.6686980934092475,1.0,0.20000076293945312,1.2000007629394531,1.2000007629394531,0.8171430315290181,-0.02974848795911195,0.593612955094061,23.200000762939453,-0.029310357017834243,0
706,2024-11-05 05:00:00,22.579999923706055,23.579999923706055,22.399999618530273,23.31999969482422,59153300.0,0.0,0.0,INTC,2024-11-05,05:00:00,,,,,,,,,,294.0,Nvidia Blows Past Apple To Become World's Most Valuable Company - NVIDIA  ( NASDAQ:NVDA ) ,Benzinga,"NVIDIA Corp. NVDA passed Apple, Inc. AAPL to become the world's largest publicly traded company on Tuesday. The Details: Nvidia ended Tuesday's trading session with a market capitalization of $3.43 trillion, slightly edging out Apple's $3.38 trillion valuation, according to data from Benzinga Pro.",https://www.benzinga.com/news/large-cap/24/11/41761849/nvidia-blows-past-apple-to-become-worlds-most-valuable-company,2024-11-17 07:48:36.045229,0.5256,," Nvidia Blows Past Apple To Become World's Most Valuable Company - NVIDIA  ( NASDAQ:NVDA )   NVIDIA Corp. NVDA passed Apple, Inc. AAPL to become the world's largest publicly traded company on Tuesday. The Details: Nvidia ended Tuesday's trading session with a market capitalization of $3.43 trillion, slightly edging out Apple's $3.38 trillion valuation, according to data from Benzinga Pro. ",nvidia blow past apple become world valuable company nvidia nasdaq nvda nvidia nvda passed apple aapl become world largest publicly traded company tuesday detail nvidia ended tuesday trading session market capitalization trillion slightly edging apple trillion valuation according data benzinga pro,0.4767,Positive,2024,11,1,5.0,0,22.520000457763672,23.200000762939453,22.572000122070314,22.568000030517577,69.16250066757203,1.1800003051757812,0.03552394408521198,1,0,155.0762978744507,122.3494916190921,330.54648310333096,-20.39388735442961,57.32946327108845,1.1800003051757812,1.0599994659423828,0.12000083923339844,1.1800003051757812,0.8442858287266325,0.03490752479737836,0.02932983917637495,22.520000457763672,0.03552394408521198,1
707,2024-11-05 05:00:00,22.579999923706055,23.579999923706055,22.399999618530273,23.31999969482422,59153300.0,0.0,0.0,INTC,2024-11-05,05:00:00,,,,,,,,,,295.0,3 Reasons Buying This Artificial Intelligence  ( AI )  Stock Is a Risk... And How It Could Pay Off,Motley Fool,Is now the right time to invest in a top AI player? Let's explore the risks and rewards of buying this market darling in the fall of 2024.,https://www.fool.com/investing/2024/11/05/3-risks-buying-this-ai-stock/,2024-11-17 07:48:36.045229,0.4019,, 3 Reasons Buying This Artificial Intelligence  ( AI )  Stock Is a Risk... And How It Could Pay Off  Is now the right time to invest in a top AI player? Let's explore the risks and rewards of buying this market darling in the fall of 2024. ,reason buying artificial intelligence ai stock risk could pay right time invest top ai player let explore risk reward buying market darling fall,0.8316,Positive,2024,11,1,5.0,0,23.31999969482422,22.520000457763672,22.776000213623046,22.702000045776366,59.78250074386598,1.1800003051757812,0.0,1,0,150.92409740448,118.46598213186591,328.875884811197,-27.027690002236994,56.50886931191837,1.1800003051757812,0.26000022888183594,0.9200000762939453,1.1800003051757812,0.8921429770333429,0.0,0.02933060157899452,23.31999969482422,0.0,0
708,2024-11-05 05:00:00,22.579999923706055,23.579999923706055,22.399999618530273,23.31999969482422,59153300.0,0.0,0.0,INTC,2024-11-05,05:00:00,,,,,,,,,,296.0,Nvidia Takes Short-Lived Lead Over Apple In Valuation - NVIDIA  ( NASDAQ:NVDA ) ,Benzinga,"On Monday, Nvidia Corp NVDA briefly claimed the title of the most valuable company globally, surpassing Apple Inc AAPL in market value. Nvidia's stock surge pushed its market cap to $3.38 trillion, edging past Apple's $3.35 trillion, CNBC reports.",https://www.benzinga.com/news/24/11/41751557/nvidia-takes-short-lived-lead-over-apple-in-valuation,2024-11-17 07:48:36.045229,0.0,," Nvidia Takes Short-Lived Lead Over Apple In Valuation - NVIDIA  ( NASDAQ:NVDA )   On Monday, Nvidia Corp NVDA briefly claimed the title of the most valuable company globally, surpassing Apple Inc AAPL in market value. Nvidia's stock surge pushed its market cap to $3.38 trillion, edging past Apple's $3.35 trillion, CNBC reports. ",nvidia take lead apple valuation nvidia nasdaq nvda monday nvidia corp nvda briefly claimed title valuable company globally surpassing apple inc aapl market value nvidia stock surge pushed market cap trillion edging past apple trillion cnbc report,0.6705,Positive,2024,11,1,5.0,0,23.31999969482422,23.31999969482422,23.136000061035155,22.8,50.402500820159915,1.1800003051757812,0.0,1,0,147.05685115814208,114.73476713433487,327.56173415902254,-33.4480318427384,54.27682123605678,1.1800003051757812,0.26000022888183594,0.9200000762939453,1.1800003051757812,0.9492859159197129,0.0,0.029135716112920818,23.31999969482422,0.0,0
709,2024-11-05 05:00:00,22.579999923706055,23.579999923706055,22.399999618530273,23.31999969482422,59153300.0,0.0,0.0,INTC,2024-11-05,05:00:00,,,,,,,,,,297.0,Will IBM's Expanded Capabilities in Microsoft Cloud Aid the Stock?,Zacks Commentary,IBM appears to be treading in the middle of the road and new investors could be better off if they trade with caution.,https://www.zacks.com/stock/news/2364498/will-ibms-expanded-capabilities-in-microsoft-cloud-aid-the-stock,2024-11-17 07:48:36.045229,0.0,, Will IBM's Expanded Capabilities in Microsoft Cloud Aid the Stock?  IBM appears to be treading in the middle of the road and new investors could be better off if they trade with caution. ,ibm expanded capability microsoft cloud aid stock ibm appears treading middle road new investor could better trade caution,0.4404,Positive,2024,11,1,5.0,0,23.31999969482422,23.31999969482422,23.15999984741211,22.863999938964845,41.11900053024292,1.1800003051757812,0.0,1,0,143.1896049118042,111.14987429356975,325.8781389123903,-39.49892908878189,53.77358094474928,1.1800003051757812,0.26000022888183594,0.9200000762939453,1.1800003051757812,0.98857171194894,0.0,0.029136205972160486,23.31999969482422,0.0,0
710,2024-11-05 05:00:00,22.579999923706055,23.579999923706055,22.399999618530273,23.31999969482422,59153300.0,0.0,0.0,INTC,2024-11-05,05:00:00,,,,,,,,,,298.0,Is SPDR S&P Semiconductor ETF  ( XSD )  a Strong ETF Right Now?,Zacks Commentary,Smart Beta ETF report for ...,https://www.zacks.com/stock/news/2364006/is-spdr-sp-semiconductor-etf-xsd-a-strong-etf-right-now,2024-11-17 07:48:36.045229,0.5106,, Is SPDR S&P Semiconductor ETF  ( XSD )  a Strong ETF Right Now?  Smart Beta ETF report for ... ,spdr p semiconductor etf xsd strong etf right smart beta etf report,0.7184,Positive,2024,11,1,5.0,0,23.31999969482422,23.31999969482422,23.31999969482422,22.903999900817873,31.835500240325928,1.1800003051757812,0.0,1,0,139.3223586654663,107.70556548577581,323.83821610219354,-45.19349877126095,57.770270814505515,1.1800003051757812,0.26000022888183594,0.9200000762939453,1.1800003051757812,1.025000299726214,0.0,0.02851817016168148,23.31999969482422,0.0,0
711,2024-11-05 05:00:00,22.579999923706055,23.579999923706055,22.399999618530273,23.31999969482422,59153300.0,0.0,0.0,INTC,2024-11-05,05:00:00,,,,,,,,,,299.0,Intel Was Just Dropped From the Dow. History Says This Is What Will Happens Next.,Motley Fool,The legacy chipmaker faces another challenge.,https://www.fool.com/investing/2024/11/05/intel-dropped-from-dow-djia-history-happen-next/,2024-11-17 07:48:36.045229,0.0,, Intel Was Just Dropped From the Dow. History Says This Is What Will Happens Next.  The legacy chipmaker faces another challenge. ,intel dropped dow history say happens next legacy chipmaker face another challenge,0.0772,Positive,2024,11,1,5.0,0,23.31999969482422,23.31999969482422,23.31999969482422,22.945999908447266,22.751999950408937,1.1800003051757812,0.0,1,0,135.45511241912843,104.39632761162085,321.4524682017943,-50.542243363537466,62.18181956898082,1.1800003051757812,0.26000022888183594,0.9200000762939453,1.1800003051757812,1.048571722848075,0.0,0.027845757595468732,23.31999969482422,0.0,0
712,2024-11-05 05:00:00,22.579999923706055,23.579999923706055,22.399999618530273,23.31999969482422,59153300.0,0.0,0.0,INTC,2024-11-05,05:00:00,,,,,,,,,,300.0,What Nvidia and Intel Stock Investors Should Know About the Major Dow Jones Index Changes,Motley Fool,"Nvidia will be joining the Dow Jones Index, representing the semiconductor market.",https://www.fool.com/investing/2024/11/05/what-nvidia-and-intel-stock-investors-should-know/,2024-11-17 07:48:36.045229,0.0,," What Nvidia and Intel Stock Investors Should Know About the Major Dow Jones Index Changes  Nvidia will be joining the Dow Jones Index, representing the semiconductor market. ",nvidia intel stock investor know major dow jones index change nvidia joining dow jones index representing semiconductor market,0.0,Neutral,2024,11,1,5.0,0,23.31999969482422,23.31999969482422,23.31999969482422,23.047999954223634,22.802499961853027,1.1800003051757812,0.0,0,0,131.58786617279054,101.21686377174647,318.7291085350292,-55.5533761894481,59.53307060901575,1.1800003051757812,0.26000022888183594,0.9200000762939453,1.1800003051757812,1.1042859213692804,0.0,0.027644145290611474,23.31999969482422,0.0,0
